Conference,Type,Title,In Charge,Presentation year
ICSE,F,Towards Understanding the Characteristics of Code Generation Errors Made by Large Language Models,,
ICSE,F,TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,,
ICSE,F,TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code,,
ICSE,F,Treefix: Enabling Execution with a Tree of Prefixes,,
ICSE,F,Trust Dynamics in AI-Assisted Development: Definitions, Factors, and Implications,,
ICSE,F,Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-box Fuzzing?,,
ICSE,F,UML is Back. Or is it? Investigating the Past, Present, and Future of UML in Open Source Software,,
ICSE,F,Unavoidable Boundary Conditions: A Control Perspective on Goal Conflicts,,
ICSE,F,Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,,
ICSE,F,Understanding Architectural Complexity, Maintenance Burden, and Developer Sentiment---a Large-Scale Study,,
ICSE,F,Understanding Compiler Bugs in Real Development,,
ICSE,F,Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak Attacks,,
ICSE,F,Understanding the Response to Open-Source Dependency Abandonment in the npm Ecosystem,,
ICSE,F,Unleashing the True Potential of Semantic-based Log Parsing with Pre-trained Language Models,,
ICSE,F,Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,,
ICSE,F,Unveiling the Energy Vampires: A Methodology for Debugging Software Energy Consumption,,
ICSE,F,User Personas Improve Social Sustainability by Encouraging Software Developers to Deprioritize Antisocial Features,,
ICSE,F,Vulnerability Detection with Code Language Models: How Far Are We?,,
ICSE,F,WDD: Weighted Delta Debugging,,
ICSE,F,Weakly-supervised Log-based Anomaly Detection with Inexact Labels via Multi-instance Learning,,
ICSE,F,What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards GenAI,,
ICSE,F,What You See Is What You Get: Attention-based Self-guided Automatic Unit Test Generation,,
ICSE,F,When Quantum Meets Classical: Characterizing Hybrid Quantum-Classical Issues Discussed in Developer Forums,,
ICSE,F,Who’s Pushing the Code: An Exploration of GitHub Impersonation,,
ICSE,F,Your Fix Is My Exploit: Enabling Comprehensive DL Library API Fuzzing with Large Language Models,,
ICSE,F,$ZTD_{JAVA}$: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust Dependencies,,
ICSME,F,Adoption and Evolution of Code Style and Best Programming Practices in Open-Source Projects,,
ICSME,F,ADPP: Automated Data-centric Program Partitioning,,
ICSME,F,A Jump-Table-Agnostic Switch Recovery on ASTs,,
ICSME,F,An Efficient Android App Debloating Approach Based on Multi-layer Dependence Graph,,
ICSME,F,APIDocBooster: An Extract-Then-Abstract Framework Leveraging Large Language Models for Augmenting API Documentation,,
ICSME,F,Are All Code Reviews the Same? Identifying and Assessing the Impact of Merge Request Deviations,,
ICSME,F,Are Classical Clone Detectors Good Enough For the AI Era?,,
ICSME,F,AST-Enhanced or AST-Overloaded? The Surprising Impact of Hybrid Graph Representations on Code Clone Detection,,
ICSME,F,A Taxonomy of Inefficiencies in LLM-Generated Code,,
ICSME,F,Automatically Augmenting GitHub Issues with Informative User Reviews,,
ICSME,F,Boosting Log Observability in Production Systems through Bytecode-Driven Fault Variable Tracking,,
ICSME,F,Boosting Redundancy-based Automated Program Repair by Fine-grained Pattern Mining,,
ICSME,F,Bridging Solidity Evolution Gaps: An LLM-Enhanced Approach for Smart Contract Compilation Error Resolution,,
ICSME,F,Can LLMs Update API Documentation?,,
ICSME,F,Characterizing the System Evolution That is Proposed After a Software Incident,,
ICSME,F,Code Property Graph Meets Typestate: A Scalable Framework to Behavioral Bug Detection,,
ICSME,F,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven Investigation,,
ICSME,F,Enhanced Vulnerability Localization: Harmonizing Task-Enhanced Tuning and General LLM Prompting,,
ICSME,F,Evaluating the maintainability of Forward-Porting vulnerabilities in fuzzer benchmarks,,
ICSME,F,Evaluation of the Language Server Protocol for Static Dependency Analysis,,
ICSME,F,From Release to Adoption: Challenges in Reusing Pre-trained AI Models for Downstream Developers,,
ICSME,F,Harnessing LLMs for Document-Guided Fuzzing of OpenCV Library,,
ICSME,F,"Let it be Chaos in the Plumbing!" Usage and Efficacy of Chaos Engineering in DevOps Pipelines,,
ICSME,F,LLM-SZZ: Novel Vulnerability Affected Range Identification Driven by Large Language Model and CVE Description,,
ICSME,F,Metamorphic Testing of Large Language Models for Natural Language Processing,,
ICSME,F,Nüwa: Enhancing MLIR Fuzzing with LLM-Driven Generation and Adaptive Mutation,,
ICSME,F,Onweer: Automated Resilience Testing through Fuzzing,,
ICSME,F,OptionFuzz: Fuzzing SMT Solvers with Optimized Option Exploration via Large Language Models,,
ICSME,F,Performance Testing in Open-Source Web Projects: Adoption, Maintenance, and a Change Taxonomy,,
ICSME,F,Quantization Is Not a Dealbreaker: Empirical Insights from Large Code Models,,
ICSME,F,Refactoring Deep Learning Code: A Study of Practices and Unsatisfied Tool Needs,,
ICSME,F,Retrieve, Refine, or Both? Using Task-Specific Guidelines for Secure Python Code Generation,,
ICSME,F,RMGenie: An LLM-Based Agent Framework for Open Source Software README Generation,,
ICSME,F,Roseau: Fast, Accurate, Source-based Breaking Change Analysis in Java,,
ICSME,F,SAEL: Leveraging Large Language Models with Adaptive Mixture-of-Experts for Smart Contract Vulnerability Detection,,
ICSME,F,Security Vulnerabilities in Docker Images: A Cross-Tag Study of Application Dependencies,,
ICSME,F,Social Media Reactions to Open Source Promotions: AI-Powered GitHub Projects on Hacker News,,
ICSME,F,Software Fairness Testing in Practice,,
ICSME,F,Syntest-ACR: Automated Crash Reproduction for JavaScript,,
ICSME,F,The Impact of Fine-tuning Large Language Models on Automated Program Repair,,
ICSME,F,Together We Are Better: LLM, IDE and Semantic Embedding to Assist Move Method Refactoring,,
ICSME,F,Toward Realistic Evaluations of Just-In-Time Vulnerability Prediction,,
ICSME,F,Trust and Verify: Formally Verified and Upgradable Trusted Functions,,
ICSME,F,TSGuard: Detecting Logic Bugs in Time Series Management Systems via Time Series Algebra,,
ICSME,F,Understanding the Faults in Serverless Computing Based Applications: An Empirical Study,,
ICST,F,An Analysis of LLM Fine-Tuning and Few-Shot Learning for Flaky Test Detection and Classification,,
ICST,F,An empirical study of web flaky tests: Understanding and unveiling DOM event interaction challenges,,
ICST,F,A Taxonomy of Integration-relevant Faults for Microservice Testing,,
ICST,F,AugmenTest: Enhancing Tests with LLM-driven Oracles,,
ICST,F,Benchmarking Generative AI Models for Deep Learning Test Input Generation,,
ICST,F,Benchmarking Image Perturbations for Testing Automated Driving Assistance Systems,,
ICST,F,Benchmarking Open-source Large Language Models For Log Level Suggestion,,
ICST,F,Challenges, Strategies, and Impacts: A Qualitative Study on UI Testing in CI/CD Processes from GitHub Developers’ Perspectives,,
ICST,F,Code, Test and Coverage Evolution in Mature Software Systems: Changes over the Past Decade,,
ICST,F,Coverage Metrics for T-Wise Feature Interactions,,
ICST,F,Detecting and evaluating order-dependent flaky tests in JavaScript,,
ICST,F,Differential Testing of Concurrent Classes,,
ICST,F,Evaluating the Effectiveness of LLMs in Detecting Security Vulnerabilities,,
ICST,F,Hybrid Equivalence/Non-Equivalence Testing,,
ICST,F,Impact of Large Language Models of Code on Fault Localization,,
ICST,F,Improving the Readability of Automatically Generated Tests using Large Language Models,,
ICST,F,Many-Objective Neuroevolution for Testing Games,,
ICST,F,Metamorphic Testing for Pose Estimation Systems,,
ICST,F,Multi-Project Just-in-Time Software Defect Prediction Based on Multi-Task Learning for Mobile Applications,,
ICST,F,Mutation-based Fuzzing of the Swift Compiler With Incomplete Type Information,,
ICST,F,On Accelerating Deep Neural Network Mutation Analysis by Neuron and Mutant Clustering,,
ICST,F,On The Energy Consumption of Test Generation,,
ICST,F,[prerecorded] ADGE: Automated Directed GUI Explorer for Android Applications,,
ICST,F,RustyRTS: Regression Test Selection for Rust,,
ICST,F,Scalable SMT Sampling for Floating-point Formulas via Coverage-guided Fuzzing,,
ICST,F,SPIDER: Fuzzing for Stateful Performance Issues in the ONOS Software-Defined Network Controller,,
ICST,F,Suspicious Types and Bad Neighborhoods- Filtering Spectra with Compiler Information,,
ICST,F,Testing Practices, Challenges, and Developer Perspectives in Open-Source IoT Platforms,,
ICST,F,Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation,,
ICST,F,The Impact of List Reduction for Language Agnostic Test Case Reducers,,
ICST,F,Turbulence: Systematically and Automatically Testing Instruction-Tuned Large Language Models for Code,,
ICST,F,Understanding and Enhancing Attribute Prioritization in Fixing Web UI Tests with LLMs,,
SANER,F,Adapting Knowledge Prompt Tuning for Enhanced Automated Program Repair,,
SANER,F,AdvFusion: Adapter-based Knowledge Transfer for Code Summarization on Code Language Models,,
SANER,F,A First Look at Package-to-Group Mechanism: An Empirical Study of the Linux Distributions,,
SANER,F,ALOGO: A Novel and Effective Framework for Online Cross-project Defect Prediction,,
SANER,F,A Metric for Measuring the Impact of Rare Paths on Program Coverage,,
SANER,F,A Multi-Language Tool for Generating Unit Tests from Execution Traces,,
SANER,F,Analysing Software Supply Chains of Infrastructure as Code: Extraction of Ansible Plugin Dependencies,,
SANER,F,An Empirical Study of Transformer Models on Automatically Templating GitHub Issue Reports,,
SANER,F,An Empirical Study on Microservices Deployment Trends, Topics and Challenges in Stack Overflow,,
SANER,F,An ensemble learning method based on neighborhood granularity discrimination index and its application in software defect prediction,,
SANER,F,A Progressive Transformer for Unifying Binary Code Embedding and Knowledge Transfer,,
SANER,F,Beyond pip install: Evaluating LLM agents for the automated installation of Python projects,,
SANER,F,BinEGA: Enhancing DNN-based Binary Code Similarity Detection through Efficient Graph Alignment,,
